key,value,os_process,pid,name,status,create_time,cpu_usage,cpu_cores,memory,user,device,mountpoint,filesystem,usage_total,usage_used,usage_free,usage_percent,gpu_id,gpu_name,gpu_usage,gpu_free,gpu_used,gpu_total,gpu_temp,if_name,if_address,if_netmask,if_broadcast
node,LPT-Dragback,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_system,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_rel,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_ver,10.0.18362,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_bootTime,1618746155.528635,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_started,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_total,25410252800,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_avail,19765268480,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_used,5644984320,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_perc,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Stotal,29168349184,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sfree,22463979520,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sused,6704369664,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sperc,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_read,42020058624,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_write,42358380544,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_machine,AMD64,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_name,"Intel64 Family 6 Model 60 Stepping 3, GenuineIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_realCores,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_logiCores,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqMax,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqCur,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_usage,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_sent,567174,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_rec,10654978,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk C:\,,,,,,,,,,,C:\,C:\,NTFS,511500611584,486359949312,25140662272,95.1,,,,,,,,,,,
disk E:\,,,,,,,,,,,E:\,E:\,FAT32,8060403712,7153156096,907247616,88.7,,,,,,,,,,,
disk F:\,,,,,,,,,,,F:\,F:\,NTFS,15681187840,14167183360,1514004480,90.3,,,,,,,,,,,
gpu 0,,,,,,,,,,,,,,,,,,0,Quadro K2100M,0.0,0.00191497802734375,3.814697265625e-05,0.001953125,47.0,,,,
